年度,月,日,指導員/啓発員,データ種別,値区分,値,ObjectId
2020,1,1,分煙対策指導員,指導対象,路上喫煙,0,1
2020,1,1,分煙対策指導員,指導対象,路上喫煙過料,0,2
2020,1,2,分煙対策指導員,指導対象,路上喫煙,0,3
2020,1,2,分煙対策指導員,指導対象,路上喫煙過料,0,4
2020,1,3,分煙対策指導員,指導対象,路上喫煙,0,5
2020,1,3,分煙対策指導員,指導対象,路上喫煙過料,0,6
2020,1,4,分煙対策指導員,指導対象,路上喫煙,114,7
2020,1,4,分煙対策指導員,指導対象,路上喫煙過料,25,8
2020,1,5,分煙対策指導員,指導対象,路上喫煙,195,9
2020,1,5,分煙対策指導員,指導対象,路上喫煙過料,18,10
2020,1,6,分煙対策指導員,指導対象,路上喫煙,116,11
2020,1,6,分煙対策指導員,指導対象,路上喫煙過料,20,12
2020,1,7,分煙対策指導員,指導対象,路上喫煙,105,13
2020,1,7,分煙対策指導員,指導対象,路上喫煙過料,14,14
2020,1,8,分煙対策指導員,指導対象,路上喫煙,195,15
2020,1,8,分煙対策指導員,指導対象,路上喫煙過料,1,16
2020,1,9,分煙対策指導員,指導対象,路上喫煙,57,17
2020,1,9,分煙対策指導員,指導対象,路上喫煙過料,0,18
2020,1,10,分煙対策指導員,指導対象,路上喫煙,0,19
2020,1,10,分煙対策指導員,指導対象,路上喫煙過料,0,20
2020,1,11,分煙対策指導員,指導対象,路上喫煙,70,21
2020,1,11,分煙対策指導員,指導対象,路上喫煙過料,0,22
2020,1,12,分煙対策指導員,指導対象,路上喫煙,90,23
2020,1,12,分煙対策指導員,指導対象,路上喫煙過料,0,24
2020,1,13,分煙対策指導員,指導対象,路上喫煙,64,25
2020,1,13,分煙対策指導員,指導対象,路上喫煙過料,0,26
2020,1,14,分煙対策指導員,指導対象,路上喫煙,127,27
2020,1,14,分煙対策指導員,指導対象,路上喫煙過料,0,28
2020,1,15,分煙対策指導員,指導対象,路上喫煙,195,29
2020,1,15,分煙対策指導員,指導対象,路上喫煙過料,0,30
2020,1,16,分煙対策指導員,指導対象,路上喫煙,85,31
2020,1,16,分煙対策指導員,指導対象,路上喫煙過料,0,32
2020,1,17,分煙対策指導員,指導対象,路上喫煙,106,33
2020,1,17,分煙対策指導員,指導対象,路上喫煙過料,0,34
2020,1,18,分煙対策指導員,指導対象,路上喫煙,93,35
2020,1,18,分煙対策指導員,指導対象,路上喫煙過料,0,36
2020,1,19,分煙対策指導員,指導対象,路上喫煙,108,37
2020,1,19,分煙対策指導員,指導対象,路上喫煙過料,0,38
2020,1,20,分煙対策指導員,指導対象,路上喫煙,115,39
2020,1,20,分煙対策指導員,指導対象,路上喫煙過料,0,40
2020,1,21,分煙対策指導員,指導対象,路上喫煙,142,41
2020,1,21,分煙対策指導員,指導対象,路上喫煙過料,0,42
2020,1,22,分煙対策指導員,指導対象,路上喫煙,199,43
2020,1,22,分煙対策指導員,指導対象,路上喫煙過料,0,44
2020,1,23,分煙対策指導員,指導対象,路上喫煙,69,45
2020,1,23,分煙対策指導員,指導対象,路上喫煙過料,0,46
2020,1,24,分煙対策指導員,指導対象,路上喫煙,79,47
2020,1,24,分煙対策指導員,指導対象,路上喫煙過料,0,48
2020,1,25,分煙対策指導員,指導対象,路上喫煙,153,49
2020,1,25,分煙対策指導員,指導対象,路上喫煙過料,0,50
2020,5,31,分煙対策指導員,指導対象,路上喫煙,140,51
2020,5,31,分煙対策指導員,指導対象,路上喫煙過料,0,52
2020,6,1,分煙対策指導員,指導対象,路上喫煙,66,53
2020,6,1,分煙対策指導員,指導対象,路上喫煙過料,0,54
2020,6,2,分煙対策指導員,指導対象,路上喫煙,115,55
2020,6,2,分煙対策指導員,指導対象,路上喫煙過料,0,56
2020,6,3,分煙対策指導員,指導対象,路上喫煙,147,57
2020,6,3,分煙対策指導員,指導対象,路上喫煙過料,0,58
2020,6,4,分煙対策指導員,指導対象,路上喫煙,102,59
2020,6,4,分煙対策指導員,指導対象,路上喫煙過料,0,60
2020,6,5,分煙対策指導員,指導対象,路上喫煙,189,61
2020,6,5,分煙対策指導員,指導対象,路上喫煙過料,0,62
2020,6,6,分煙対策指導員,指導対象,路上喫煙,83,63
2020,6,6,分煙対策指導員,指導対象,路上喫煙過料,0,64
2020,6,7,分煙対策指導員,指導対象,路上喫煙,135,65
2020,6,7,分煙対策指導員,指導対象,路上喫煙過料,0,66
2020,6,8,分煙対策指導員,指導対象,路上喫煙,167,67
2020,6,8,分煙対策指導員,指導対象,路上喫煙過料,4,68
2020,6,9,分煙対策指導員,指導対象,路上喫煙,177,69
2020,6,9,分煙対策指導員,指導対象,路上喫煙過料,44,70
2020,6,10,分煙対策指導員,指導対象,路上喫煙,119,71
2020,6,10,分煙対策指導員,指導対象,路上喫煙過料,37,72
2020,6,11,分煙対策指導員,指導対象,路上喫煙,145,73
2020,6,11,分煙対策指導員,指導対象,路上喫煙過料,34,74
2020,6,12,分煙対策指導員,指導対象,路上喫煙,101,75
2020,6,12,分煙対策指導員,指導対象,路上喫煙過料,51,76
2020,6,13,分煙対策指導員,指導対象,路上喫煙,151,77
2020,6,13,分煙対策指導員,指導対象,路上喫煙過料,22,78
2020,6,14,分煙対策指導員,指導対象,路上喫煙,0,79
2020,6,14,分煙対策指導員,指導対象,路上喫煙過料,0,80
2020,6,15,分煙対策指導員,指導対象,路上喫煙,232,81
2020,6,15,分煙対策指導員,指導対象,路上喫煙過料,51,82
2020,6,16,分煙対策指導員,指導対象,路上喫煙,177,83
2020,6,16,分煙対策指導員,指導対象,路上喫煙過料,52,84
2020,6,17,分煙対策指導員,指導対象,路上喫煙,145,85
2020,6,17,分煙対策指導員,指導対象,路上喫煙過料,18,86
2020,6,18,分煙対策指導員,指導対象,路上喫煙,135,87
2020,6,18,分煙対策指導員,指導対象,路上喫煙過料,30,88
2020,6,19,分煙対策指導員,指導対象,路上喫煙,164,89
2020,6,19,分煙対策指導員,指導対象,路上喫煙過料,31,90
2020,6,20,分煙対策指導員,指導対象,路上喫煙,112,91
2020,6,20,分煙対策指導員,指導対象,路上喫煙過料,24,92
2020,6,21,分煙対策指導員,指導対象,路上喫煙,125,93
2020,6,21,分煙対策指導員,指導対象,路上喫煙過料,29,94
2020,6,22,分煙対策指導員,指導対象,路上喫煙,111,95
2020,6,22,分煙対策指導員,指導対象,路上喫煙過料,33,96
2020,6,23,分煙対策指導員,指導対象,路上喫煙,162,97
2020,6,23,分煙対策指導員,指導対象,路上喫煙過料,40,98
2020,6,24,分煙対策指導員,指導対象,路上喫煙,208,99
2020,6,24,分煙対策指導員,指導対象,路上喫煙過料,63,100
2020,4,11,分煙対策指導員,指導対象,路上喫煙,102,101
2020,4,11,分煙対策指導員,指導対象,路上喫煙過料,0,102
2020,4,12,分煙対策指導員,指導対象,路上喫煙,0,103
2020,4,12,分煙対策指導員,指導対象,路上喫煙過料,0,104
2020,4,13,分煙対策指導員,指導対象,路上喫煙,72,105
2020,4,13,分煙対策指導員,指導対象,路上喫煙過料,0,106
2020,4,14,分煙対策指導員,指導対象,路上喫煙,116,107
2020,4,14,分煙対策指導員,指導対象,路上喫煙過料,0,108
2020,4,15,分煙対策指導員,指導対象,路上喫煙,93,109
2020,4,15,分煙対策指導員,指導対象,路上喫煙過料,0,110
2020,4,16,分煙対策指導員,指導対象,路上喫煙,76,111
2020,4,16,分煙対策指導員,指導対象,路上喫煙過料,0,112
2020,4,17,分煙対策指導員,指導対象,路上喫煙,126,113
2020,4,17,分煙対策指導員,指導対象,路上喫煙過料,0,114
2020,4,18,分煙対策指導員,指導対象,路上喫煙,69,115
2020,4,18,分煙対策指導員,指導対象,路上喫煙過料,0,116
2020,4,19,分煙対策指導員,指導対象,路上喫煙,75,117
2020,4,19,分煙対策指導員,指導対象,路上喫煙過料,0,118
2020,4,20,分煙対策指導員,指導対象,路上喫煙,85,119
2020,4,20,分煙対策指導員,指導対象,路上喫煙過料,0,120
2020,4,21,分煙対策指導員,指導対象,路上喫煙,102,121
2020,4,21,分煙対策指導員,指導対象,路上喫煙過料,0,122
2020,4,22,分煙対策指導員,指導対象,路上喫煙,51,123
2020,4,22,分煙対策指導員,指導対象,路上喫煙過料,0,124
2020,4,23,分煙対策指導員,指導対象,路上喫煙,66,125
2020,4,23,分煙対策指導員,指導対象,路上喫煙過料,0,126
2020,4,24,分煙対策指導員,指導対象,路上喫煙,93,127
2020,4,24,分煙対策指導員,指導対象,路上喫煙過料,0,128
2020,4,25,分煙対策指導員,指導対象,路上喫煙,53,129
2020,4,25,分煙対策指導員,指導対象,路上喫煙過料,0,130
2020,4,26,分煙対策指導員,指導対象,路上喫煙,87,131
2020,4,26,分煙対策指導員,指導対象,路上喫煙過料,0,132
2020,4,27,分煙対策指導員,指導対象,路上喫煙,78,133
2020,4,27,分煙対策指導員,指導対象,路上喫煙過料,0,134
2020,4,28,分煙対策指導員,指導対象,路上喫煙,45,135
2020,4,28,分煙対策指導員,指導対象,路上喫煙過料,0,136
2020,4,29,分煙対策指導員,指導対象,路上喫煙,63,137
2020,4,29,分煙対策指導員,指導対象,路上喫煙過料,0,138
2020,4,30,分煙対策指導員,指導対象,路上喫煙,98,139
2020,4,30,分煙対策指導員,指導対象,路上喫煙過料,0,140
2020,5,1,分煙対策指導員,指導対象,路上喫煙,54,141
2020,5,1,分煙対策指導員,指導対象,路上喫煙過料,0,142
2020,5,2,分煙対策指導員,指導対象,路上喫煙,86,143
2020,5,2,分煙対策指導員,指導対象,路上喫煙過料,0,144
2020,5,3,分煙対策指導員,指導対象,路上喫煙,74,145
2020,5,3,分煙対策指導員,指導対象,路上喫煙過料,0,146
2020,5,4,分煙対策指導員,指導対象,路上喫煙,85,147
2020,5,4,分煙対策指導員,指導対象,路上喫煙過料,0,148
2020,5,5,分煙対策指導員,指導対象,路上喫煙,72,149
2020,5,5,分煙対策指導員,指導対象,路上喫煙過料,0,150
2020,3,17,分煙対策指導員,指導対象,路上喫煙,156,151
2020,3,17,分煙対策指導員,指導対象,路上喫煙過料,0,152
2020,3,18,分煙対策指導員,指導対象,路上喫煙,224,153
2020,3,18,分煙対策指導員,指導対象,路上喫煙過料,0,154
2020,3,19,分煙対策指導員,指導対象,路上喫煙,215,155
2020,3,19,分煙対策指導員,指導対象,路上喫煙過料,0,156
2020,3,20,分煙対策指導員,指導対象,路上喫煙,70,157
2020,3,20,分煙対策指導員,指導対象,路上喫煙過料,0,158
2020,3,21,分煙対策指導員,指導対象,路上喫煙,102,159
2020,3,21,分煙対策指導員,指導対象,路上喫煙過料,0,160
2020,3,22,分煙対策指導員,指導対象,路上喫煙,209,161
2020,3,22,分煙対策指導員,指導対象,路上喫煙過料,0,162
2020,3,23,分煙対策指導員,指導対象,路上喫煙,211,163
2020,3,23,分煙対策指導員,指導対象,路上喫煙過料,0,164
2020,3,24,分煙対策指導員,指導対象,路上喫煙,206,165
2020,3,24,分煙対策指導員,指導対象,路上喫煙過料,0,166
2020,3,25,分煙対策指導員,指導対象,路上喫煙,253,167
2020,3,25,分煙対策指導員,指導対象,路上喫煙過料,0,168
2020,3,26,分煙対策指導員,指導対象,路上喫煙,178,169
2020,3,26,分煙対策指導員,指導対象,路上喫煙過料,0,170
2020,3,27,分煙対策指導員,指導対象,路上喫煙,175,171
2020,3,27,分煙対策指導員,指導対象,路上喫煙過料,0,172
2020,3,28,分煙対策指導員,指導対象,路上喫煙,220,173
2020,3,28,分煙対策指導員,指導対象,路上喫煙過料,0,174
2020,3,29,分煙対策指導員,指導対象,路上喫煙,167,175
2020,3,29,分煙対策指導員,指導対象,路上喫煙過料,0,176
2020,3,30,分煙対策指導員,指導対象,路上喫煙,197,177
2020,3,30,分煙対策指導員,指導対象,路上喫煙過料,0,178
